vegetation_class,dir_quad,int_ext,a_b,data_labels,series_name,sample_1,sample_2,sample_3,sample_4,average_total_bases_meq_100g,st_dev_total_bases_meq_100g
IPOPES,NW,INT,,,IPOPES:NW:INT,7.601841432225063,5.595575447570333,5.660460358056267,6.976726342710997,6.458650895140665,0.9928568435151057
IPOPES,NW,EXT ,,,IPOPES:NW:EXT,5.3102301790281325,5.5104603580562665,6.2106905370844,6.100690537084399,5.7830179028133,0.4403164133647013
IPOPES,NE,INT ,,,IPOPES:NE:INT,6.318363171355498,6.563708439897699,7.133478260869565,5.773248081841432,6.447199488491048,0.5643173410748277
IPOPES,NE,EXT ,,,IPOPES:NE:EXT,6.180690537084399,5.795575447570333,6.467902813299233,5.950230179028133,6.098599744245524,0.2926664240733782
IPOPES,SW,INT,,,IPOPES:SW:INT,5.805575447570333,6.633248081841431,4.957902813299233,7.353478260869565,6.187551150895141,1.035369861790317
IPOPES,SW,EXT ,,,IPOPES:SW:EXT,6.490690537084398,4.675345268542199,5.563017902813299,5.988363171355499,5.6793542199488485,0.7692683243927042
IPOPES,SE,INT,,,IPOPES:SE:INT,7.699514066496163,6.458593350383632,6.246265984654731,6.233248081841432,6.659405370843989,0.7010577136782874
IPOPES,SE,EXT ,,,IPOPES:SE:EXT,6.4930179028133,5.633248081841431,6.058363171355499,6.445805626598466,6.157608695652174,0.40015019457874285
ERAVAR,NW,INT A,A,ERAVAR:NW:INT,ERAVAR:NW:INT:A,5.2132480818414315,6.428363171355499,6.6081329923273655,7.868823529411765,6.529641943734015,1.0866950436208884
ERAVAR,NW,EXT A,A,ERAVAR:NW:EXT,ERAVAR:NW:EXT:A,7.276035805626598,6.086035805626598,6.661150895140666,5.853478260869565,6.469175191815856,0.636070546614725
ERAVAR,NW,INT B,B,,ERAVAR:NW:INT:B,5.995805626598465,6.5585933503836324,5.983017902813298,7.528363171355499,6.516445012787724,0.7260313799711626
ERAVAR,NW,EXT B,B,,ERAVAR:NW:EXT:B,6.085805626598466,6.360920716112532,6.540920716112532,6.620920716112532,6.402141943734016,0.23727027770866688
ERAVAR,SE,INT A,A,ERAVAR:SE:INT,ERAVAR:SE:INT:A,5.792787723785167,6.205805626598465,6.4881329923273645,6.2379028132992325,6.181157289002558,0.28803506539589446
ERAVAR,SE,EXT A,A,ERAVAR:SE:EXT,ERAVAR:SE:EXT:A,6.558132992327366,5.5353452685421995,6.308132992327365,6.263248081841432,6.16621483375959,0.4401334897116691
ERAVAR,SE,INT B,B,,ERAVAR:SE:INT:B,5.963248081841432,6.3906905370843985,6.6555754475703335,6.598132992327366,6.401911764705883,0.3137938690643773
ERAVAR,SE,EXT B,B,,ERAVAR:SE:EXT:B,6.178132992327366,5.055345268542199,6.110690537084399,5.6879028132992335,5.7580179028132985,0.516249175021837
ERAVAR,SW,INT A,A,ERAVAR:SW:INT,ERAVAR:SW:INT:A,6.073248081841432,5.473708439897699,5.402787723785166,5.752787723785167,5.675632992327365,0.3051058163082607
ERAVAR,SW,EXT A,A,ERAVAR:SW:EXT,ERAVAR:SW:EXT:A,6.052787723785166,6.173017902813299,5.310460358056266,6.735575447570333,6.067960358056267,0.5861693311344925
ERAVAR,SW,INT B,B,,ERAVAR:SW:INT:B,5.968132992327366,5.517902813299232,5.585345268542199,5.947902813299232,5.754820971867008,0.23638587340781264
ERAVAR,SW,EXT B,B,,ERAVAR:SW:EXT:B,5.847902813299234,6.190690537084399,5.600460358056266,7.940920716112531,6.394993606138108,1.0586503658424695
LZVEG,,,,,LZVEG,14.509462915601024,20.91943734015345,12.678797953964194,8.840434782608694,14.23703324808184,5.042489947200724
COCNUC,,,,,COCNUC,21.10363171355499,15.065294117647058,21.16179028132992,10.23695652173913,16.891918158567773,5.27874381485264
TUOARG,,,,,TUOARG,14.267186700767263,8.428337595907928,7.601125319693095,9.425038363171355,9.93042199488491,2.9857897487990552
CASEQU,,,,,CASEQU,7.360204603580563,8.418107416879796,10.337851662404091,15.06992327365729,10.296521739130435,3.4125976937879834
Desert,,,,,Desert,7.983478260869565,7.138363171355499,6.7583631713555,6.7506905370844,7.157723785166241,0.5794854764986337
