centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
AF486072.2,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Hungary 1,genome*,9459,"Acute bee paralysis virus isolate Hungary 1, complete genome",1,,none
AF486073.2,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Poland 1,genome*,9463,"Acute bee paralysis virus isolate Poland 1, complete genome",1,,none
NC_002548.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Acute bee paralysis virus,Rothamsted*,genome*,9491,"Acute bee paralysis virus, complete genome",1,,none
HQ871932.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Aphid lethal paralysis virus,brookings,genome*,4175,"Aphid lethal paralysis virus strain brookings non-structural polyprotein and capsid protein precursor, genes, partial cds",1,,none
JF423195.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,undetermined,Big Sioux River virus,BruceSD_T17/BSRV1,nonstructural polyprotein,1473,"Big Sioux River virus isolate BSRV1 nonstructural polyprotein gene, partial cds",1,,none
JF423196.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,undetermined,Big Sioux River virus,BruceSD_T17/BSRV2,nonstructural polyprotein,848,"Big Sioux River virus isolate BSRV2 nonstructural polyprotein gene, partial cds",1,,none
JF423197.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,undetermined,Big Sioux River virus,BruceSD_T17/BSRV3,nonstructural polyprotein,1031,"Big Sioux River virus isolate BSRV3 nonstructural polyprotein and structural polyprotein genes, partial cds",1,,none
JF423198.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,undetermined,Big Sioux River virus,BruceSD_T17/BSRV4,structural polyprotein,996,"Big Sioux River virus isolate BSRV4 structural polyprotein gene, partial cds",1,,none
JX149531.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,AY,genome*,8392,"Black queen cell virus strain AY non-structural polyprotein and structural polyprotein genes, complete cds",1,,none
EF517515.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,HUNGARY-10,genome*,8335,"Black queen cell virus strain HUNGARY-10 non-structural polyprotein and structural polyprotein genes, complete cds",1,,none
KP119603.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,JL1,genome*,8358,"Black queen cell virus isolate JL1, complete genome",1,,none
EF517519.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,POLAND-4,genome*,8333,"Black queen cell virus strain POLAND-4 non-structural polyprotein and structural polyprotein genes, complete cds",1,,none
EF517520.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,POLAND-5,genome*,8298,"Black queen cell virus strain POLAND-5 non-structural polyprotein and structural polyprotein genes, complete cds",1,,none
EF517521.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,POLAND-6,genome*,8302,"Black queen cell virus strain POLAND-6 non-structural polyprotein and structural polyprotein genes, complete cds",1,,none
NC_003784.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Cripavirus,Black queen cell virus,South African,genome*,8550,"Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds",1,,none
JX045857.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,4782IAPV,genome*,8882,"Israeli acute paralysis virus isolate 4782IAPV nonstructural polyprotein gene, complete cds; and structural polyprotein gene, partial cds",1,,none
EU436423.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,DVE31-OP3-PA-USA-2007,genome*,9580,"Israel acute paralysis virus of bees strain DVE31-OP3-PA-USA-2007, complete genome",1,,none
EU224279.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,IAPV_MD*,genome*,9520,"Israel acute paralysis virus of bees from USA, complete genome",1,,none
EU224280.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,IAPV_PA*,genome*,9580,"Israel acute paralysis virus of bees from USA, complete genome",1,,none
EU436455.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,IS1-ISRAEL-2007,genome*,9281,"Israel acute paralysis virus of bees strain IS1-ISRAEL-2007, complete genome",1,,none
KC690268.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Korea1,genome*,9478,"Israeli acute paralysis virus strain Korea1, complete genome",1,,none
KC690269.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Korea2,genome*,9480,"Israeli acute paralysis virus strain Korea2, complete genome",1,,none
KC690270.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Korea3,genome*,9470,"Israeli acute paralysis virus strain Korea3, complete genome",1,,none
EU218534.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Not Available,genome*,9613,"Israel acute paralysis virus of bees from USA, complete genome",1,,none
NC_009025.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Not Available,genome*,9499,Israel acute paralysis virus of bees,1,,none
EU436456.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,OZ6-AUSTRALIA-2007,genome*,9480,"Israel acute paralysis virus of bees strain OZ6-AUSTRALIA-2007, complete genome",1,,none
HQ897161.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Israeli acute paralysis virus,Wus-China-2008,genome*,9482,"Israel acute paralysis virus of bees strain Wus-China-2008, complete genome",1,,none
KF956377.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Kashmir bee virus,KBV_AY,genome*,9515,"Kashmir bee virus isolate KBV_AY, complete genome",1,,none
NC_004807.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Dicistroviridae,Aparavirus,Kashmir bee virus,KBV_PA*,genome*,9524,"Kashmir bee virus, complete genome",1,,none
JQ413340.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,Chilensis A1,genome*,10171,"Deformed wing virus isolate Chilensis A1, complete genome",1,,none
NC_004830.2,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,DWV_IT*,genome*,10140,"Deformed wing virus, complete genome",1,,none
NC_005876.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,DWV_Kakugo*,genome*,10152,"Kakugo virus, complete genome",1,,none
JX878304.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,Korea-1,genome*,10111,"Deformed wing virus strain Korea-1, complete genome",1,,none
JX878305.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,Korea-2,genome*,10114,"Deformed wing virus strain Korea-2, complete genome",1,,none
KC786224.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,KV_Ox,genome*,10127,Kakugo virus isolate KV_Ox genomic sequence,1,,none
AY292384.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,PA,genome*,10166,"Deformed wing virus isolate PA, complete genome",1,,none
KJ437447.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,Varroa-infested-colony-DJE202,genome*,10167,"Deformed wing virus isolate Varroa-infested-colony-DJE202, complete genome",1,,none
GU109335.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Deformed wing virus,Warwick-2009,genome*,10167,"Deformed wing virus isolate Warwick-2009 polyprotein gene, complete cds",1,,none
JQ390592.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,AmSBV-Kor19,genome*,8784,"Sacbrood virus strain AmSBV-Kor19, complete genome",1,,none
JQ390591.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,AmSBV-Kor21,genome*,8855,"Sacbrood virus strain AmSBV-Kor21, complete genome",1,,none
KM884993.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,AmSBV-Viet4,genome*,8787,"Sacbrood virus isolate AmSBV-Viet4, complete genome",1,,none
KM884995.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,AmSBV-Viet6,genome*,8836,"Sacbrood virus isolate AmSBV-Viet6, complete genome",1,,none
HM237361.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,CSBV-LN,genome*,8863,"Sacbrood virus CSBV-LN/China/2009, complete genome",1,,none
AF469603.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,Not Available,genome*,8740,"Sacbrood virus polyprotein gene, complete cds",1,,none
KJ629183.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,Oksapmin,genome*,8359,"Sacbrood virus isolate Oksapmin polyprotein gene, partial cds",1,,none
NC_002066.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Sacbrood virus,Rothamstead,genome*,8832,Sacbrood virus complete genome,1,,none
GU938761.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Slow bee paralysis virus,Harpenden,genome*,9424,"Slow bee paralysis virus strain Harpenden polyprotein gene, complete cds",1,,none
NC_014137.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Slow bee paralysis virus,Rothamsted,genome*,9505,"Slow bee paralysis virus, complete genome",1,,none
NC_006494.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Varroa destructor virus-1,Not Available,genome*,10112,"Varroa destructor virus-1, complete genome",1,,none
KC786222.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Varroa destructor virus-1,VDV-1_Ox,genome*,10089,"Varroa destructor virus-1 polyprotein gene, genomic sequence",1,,none
JF440525.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Iflaviridae,Iflavirus,Varroa destructor virus-1,Zriffin,genome*,9974,"Varroa destructor virus-1 strain Zriffin polyprotein gene, complete cds",1,,none
JQ710729.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,A,polyprotein,1545,"Tobacco ringspot virus isolate A polyprotein gene, partial cds",1,,none
JQ710730.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,B,capsid protein,2050,"Tobacco ringspot virus isolate B capsid protein gene, partial cds",1,,none
JX141171.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-A,capsid protein-like*,726,"UNVERIFIED: Tobacco ringspot virus isolate Bee-A capsid protein-like gene, partial sequence",2,JX141182.1: Tobacco ringspot virus,none
JX141173.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-C,capsid protein-like*,725,"UNVERIFIED: Tobacco ringspot virus isolate Bee-C capsid protein-like gene, partial sequence",3,"JX141172.1: Tobacco ringspot virus, JX141175.1: Tobacco ringspot virus",none
JX141174.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-D,capsid protein-like*,724,"UNVERIFIED: Tobacco ringspot virus isolate Bee-D capsid protein-like gene, partial sequence",1,,none
JX141176.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-F,capsid protein-like*,590,"UNVERIFIED: Tobacco ringspot virus isolate Bee-F capsid protein-like gene, partial sequence",2,JX141177.1: Tobacco ringspot virus,none
JX141179.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-I,capsid protein-like*,588,"UNVERIFIED: Tobacco ringspot virus isolate Bee-I capsid protein-like gene, partial sequence",1,,none
JX141184.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-N,capsid protein-like*,588,"UNVERIFIED: Tobacco ringspot virus isolate Bee-N capsid protein-like gene, partial sequence",4,"JX141178.1: Tobacco ringspot virus, JX141180.1: Tobacco ringspot virus, JX141183.1: Tobacco ringspot virus",none
JX141185.1,Viruses,undetermined,undetermined,undetermined,Picornavirales,Secoviridae,Nepovirus,Tobacco ringspot virus,Bee-O,capsid protein-like*,582,"UNVERIFIED: Tobacco ringspot virus isolate Bee-O capsid protein-like gene, partial sequence",2,JX141181.1: Tobacco ringspot virus,none
NC_027631.1,Viruses,undetermined,undetermined,undetermined,Tymovirales,Tymoviridae,undetermined,Bee Macula-like virus,France 878V,genome*,6258,"Bee Macula-like virus isolate France 878V, complete genome",1,,none
KT162925.1,Viruses,undetermined,undetermined,undetermined,Tymovirales,Tymoviridae,undetermined,Bee Macula-like virus,PSU-1var,genome*,6426,"Bee Macula-like virus isolate PSU-1var, complete genome",1,,none
AB859952.1,Viruses,undetermined,undetermined,undetermined,Tymovirales,Tymoviridae,undetermined,Varroa destructor Macula-like virus,Am,coat protein,402,"Varroa destructor Macula-like virus gene for coat protein, partial cds, isolate: Am",1,,none
AB859950.1,Viruses,undetermined,undetermined,undetermined,Tymovirales,Tymoviridae,undetermined,Varroa destructor Macula-like virus,Oc,coat protein,402,"Varroa destructor Macula-like virus gene for coat protein, partial cds, isolate: Oc",1,,none
KC880120.1,Viruses,undetermined,undetermined,undetermined,Tymovirales,Tymoviridae,undetermined,Varroa destructor Macula-like virus,VdMLV,CP/coat protein,438,"Varroa destructor Macula-like virus isolate VdMLV coat protein (CP) and P15 protein (P15) genes, partial cds",3,"AB859949.1: Varroa destructor Macula-like virus, AB859951.1: Varroa destructor Macula-like virus",none
JF304814.1,Viruses,undetermined,undetermined,undetermined,undetermined,Dicistroviridae*,undetermined,Apis mellifera filamentous virus,Not Available,BroN,822,"Apis mellifera filamentous virus BroN gene, partial cds",1,,none
AF042340.1,Viruses,undetermined,undetermined,undetermined,undetermined,Iridoviridae,Iridovirus,Invertebrate iridescent virus 24,IV24,major capsid protein,355,"Apis cerana iridescent virus major capsid protein gene, partial cds",1,,none
NC_010711.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Chronic bee paralysis virus,A-79P,RNA genome segment 1*,3674,"Chronic bee paralysis virus RNA 1, complete genome",1,,none
NC_010712.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Chronic bee paralysis virus,A-79P,RNA genome segment 2*,2305,"Chronic bee paralysis virus RNA 2, complete genome",1,,none
EU122231.2,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Chronic bee paralysis virus,B-441,RNA genome segment 1*,3658,"Chronic bee paralysis virus isolate B-441 segment RNA 1, partial sequence",1,,none
EU122232.2,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Chronic bee paralysis virus,B-441,RNA genome segment 2*,2300,"Chronic bee paralysis virus isolate B-441 segment RNA 2, partial sequence",1,,none
KJ561228.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,55,RNA-dependent RNA polymerase,534,"Lake Sinai virus isolate 55 RNA-dependent RNA polymerase and Orf1 genes, partial cds",1,,none
KJ561229.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,56,RNA-dependent RNA polymerase,534,"Lake Sinai virus isolate 56 RNA-dependent RNA polymerase and Orf1 genes, partial cds",1,,none
KJ561227.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,324,RNA-dependent RNA polymerase,534,"Lake Sinai virus isolate 324 RNA-dependent RNA polymerase and Orf1 genes, partial cds",1,,none
KF768350.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,Av,RNA-dependent RNA polymerase,498,"Lake Sinai virus isolate Av RNA-dependent RNA polymerase and Orf1 genes, partial cds",2,KF768348.1: Lake Sinai virus,none
KF768351.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,e101,RNA-dependent RNA polymerase,498,"Lake Sinai virus isolate e101 RNA-dependent RNA polymerase and Orf1 genes, partial cds",2,KC880121.1: Lake Sinai virus 5 JR-2013,none
KF768349.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus,e35,RNA-dependent RNA polymerase,498,"Lake Sinai virus isolate e35 RNA-dependent RNA polymerase and Orf1 genes, partial cds",1,,none
HQ871931.2,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 1,BruceSD_T17E02,genome*,5904,"Lake Sinai virus 1 Orf1, RNA-dependant RNA polymerase, and capsid protein genes, complete cds",1,,none
HQ888865.2,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 2,BruceSD_T17E01,genome*,5910,"Lake Sinai virus 2 strain BruceSD_T17E01 Orf1, RNA-dependant RNA polymerase, and capsid protein genes, complete cds",1,,none
JQ480620.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 3,Not Available,ORF1 protein,668,"Lake Sinai virus 3 clone BRL-1-15-12 ORF1 protein and RNA-dependent RNA polymerase genes, partial cds",1,,none
JX878492.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 4,Not Available,RNA-dependent RNA polymerase,579,"Lake Sinai virus 4 ORF1 protein and RNA-dependent RNA polymerase genes, partial cds",1,,none
KC880122.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 5 JR-2013,LSV037,RNA-dependent RNA polymerase,404,"Lake Sinai virus 5 JR-2013 isolate LSV037 Orf1 and RNA-dependent RNA polymerase genes, partial cds",1,,none
KC880123.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 5 JR-2013,LSV087,RNA-dependent RNA polymerase,289,"Lake Sinai virus 5 JR-2013 isolate LSV087 Orf1 and RNA-dependent RNA polymerase genes, partial cds",1,,none
KC880124.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 5 JR-2013,LSV117,RNA-dependent RNA polymerase,454,"Lake Sinai virus 5 JR-2013 isolate LSV117 Orf1 and RNA-dependent RNA polymerase genes, partial cds",2,KC880125.1: Lake Sinai virus 5 JR-2013,none
KC880126.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus 5 JR-2013,LSV256,RNA-dependent RNA polymerase,327,"Lake Sinai virus 5 JR-2013 isolate LSV256 Orf1 and RNA-dependent RNA polymerase genes, partial cds",1,,none
JX045859.1,Viruses,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,Lake Sinai virus strain Navarra,4782LSV,Orf1,631,"Lake Sinai virus strain Navarra isolate 4782LSV Orf1 gene, partial cds",1,,none
