country_name,country_iso3,year,indicator_name,indicator_code,value
India,IND,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4471964455686
India,IND,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4471964455686
India,IND,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4471964455686
India,IND,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4394606466455
India,IND,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4206256579633
India,IND,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4300431523044
India,IND,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.3974182611942
India,IND,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5639061075814
India,IND,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4593046525785
India,IND,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4132261981239
India,IND,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5094191760365
India,IND,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5834137744308
India,IND,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6671622062499
India,IND,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.6247834817149
India,IND,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7293849367178
India,IND,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7048321836142
India,IND,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8689656564162
India,IND,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8844372542623
India,IND,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8349954089715
India,IND,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8709836909178
India,IND,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.7391387701425
India,IND,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.8588754839079
India,IND,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9752488068371
India,IND,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0058556634457
India,IND,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9799575540076
India,IND,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0744688365022
India,IND,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0162821750376
India,IND,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0458800143953
India,IND,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.907980990115
India,IND,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0600062559069
India,IND,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9419512375597
