objectid,hab_code,hab_type,mega_id,mega,ind_id,ind,sed_id,sed,mes_mac_id,mes_mac,mod_id,mod,hab_desc,shape_area
332,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",78961.4844928
333,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,430.090631843
334,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,491.346424894
335,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,555.224768096
336,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,2463.28656501
337,Ss(s)_r/u,"Soft, unconsolidated rippled sediment (sand)",S,Continental Shelf,s,soft,s,sand,,,r/u,rippled/unconsolidated,"Soft, unconsolidated rippled sediment (sand)",77310.1124420
338,Ss(s/g)_r/u,"Soft, unconsolidated rippled sediment (sand/gravel)",S,Continental Shelf,s,soft,s/g,coarse sand/gravel,,,r/u,rippled/unconsolidated,"Soft, unconsolidated rippled sediment (sand/gravel)",626613.354329
339,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",45788.0513496
340,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",7034.34143092
341,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",48900.3766567
342,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",43185.4904584
343,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",9294.11392401
344,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",2606.27095473
345,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",7094.09480800
346,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",7942.46307075
347,Shd_c/d/f,Fractured sedimentary rock,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d/f,consolidated/differentially eroded/fractured,"Faulted, fractured, differentially eroded, and deformed sedimentary bedrock on continental shelf",17883.2865990
348,Shd_c/d/f,Fractured sedimentary rock,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d/f,consolidated/differentially eroded/fractured,"Faulted, fractured, differentially eroded, and deformed sedimentary bedrock on continental shelf",24053.6839117
349,Shd_c/d/f,Fractured sedimentary rock,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d/f,consolidated/differentially eroded/fractured,"Faulted, fractured, differentially eroded, and deformed sedimentary bedrock on continental shelf",3990.92406913
350,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",111722.163883
