date_and_time_of_initial_call,date_and_time_of_ranger_response,borough,property,location,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311sr_number,final_ranger_action,of_animals,pep_response,animal_monitored,rehabilitator,hours_spent_monitoring,police_response,esu_response,acc_intake_number
2018-07-21T14:00:00,2018-07-21T14:50:00,Manhattan,Central Park,Conservatory Garden,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.5,false,false,
2018-07-21T16:30:00,2018-07-21T16:45:00,Manhattan,Central Park,Huddlestone Arch,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1.25,Juvenile,Small Mammals-non RVS,1-1-1588253244,Monitored Animal,2,false,true,,0.5,false,false,
2018-07-21T14:15:00,2018-07-21T14:15:00,Manhattan,Central Park,East 110th Street Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1588253243,ACC,1,false,false,,,true,false,35372
2018-07-21T09:00:00,2018-07-21T09:10:00,Manhattan,Central Park,Dalehead Arch at the West Drive of Central Park and W 63rd St,Raccoon,Central,Native,DOA,2.5,Juvenile,Small Mammals-RVS,1-1-1591237359,Submitted for DEC Testing,1,false,false,,,false,false,
2018-07-21T09:15:00,2018-07-21T09:15:00,Manhattan,Central Park,Central Park East Drive at 106th St,Raccoon,Observed by Ranger,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1591297971,ACC,1,false,false,,,false,false,35291
2018-07-20T17:51:00,2018-07-21T15:45:00,Queens,Alley Pond Park,,Red-Eared Slider,Central,Domestic,N/A,0.5,Adult,Marine Reptiles,111591900350,Unfounded,,false,false,,,false,false,
2018-07-17T18:15:00,2018-07-21T14:43:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,
2018-07-20T14:00:00,2018-07-20T14:00:00,Manhattan,Central Park,,Opossum,Employee,Native,DOA,0.3,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-20T14:00:00,2018-07-20T14:00:00,Manhattan,Central Park,floating in the water of the Loch in the North Woods,Raccoon,Employee,Native,DOA,0.3,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-20T14:00:00,2018-07-20T14:45:00,Manhattan,Central Park,west side of the 100th pond,Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,true,,0.4,false,false,
2018-07-19T10:15:00,2018-07-19T12:25:00,Queens,Alley Pond Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.25,Juvenile,Small Mammals-RVS,1-1-1588253180,Unfounded,1,false,false,,,false,false,
2018-07-18T20:35:00,2018-07-19T09:35:00,Queens,Alley Pond Park,,Chicken,Central,Domestic,N/A,0.25,Adult,Domestic,1-1-1591518774,Unfounded,1,false,false,,,false,false,
2018-07-18T18:00:00,2018-07-19T10:00:00,Manhattan,Central Park,South Gate (Pump) House by the Reservoir by 86st. and Transverse,Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1590496248,ACC,1,false,false,,,false,false,35083
2018-07-16T12:00:00,2018-07-19T13:00:00,Manhattan,Central Park,East 110th St Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Infant,Small Mammals-RVS,,Unfounded,2,false,true,,2,false,false,
2018-07-19T09:00:00,2018-07-19T10:00:00,Manhattan,Central Park,CP 79th St Yard,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1590496247,ACC,1,false,false,,,false,false,35069
2018-07-19T12:00:00,2018-07-19T00:30:00,Manhattan,Central Park,Walking path to Delocorte Theater,Raccoon,Employee,Native,Injured,1.5,Juvenile,Small Mammals-RVS,1-11-590496249,ACC,1,false,false,,,false,false,35104
2018-07-18T16:30:00,2018-07-18T16:45:00,Bronx,Van Cortlandt Park,,Squirrels,Central,Native,N/A,0.25,Juvenile,Small Mammals-RVS,,Unfounded,,false,false,,,false,false,
2018-07-17T18:15:00,2018-07-19T12:08:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,
2018-07-18T12:40:00,2018-07-18T13:00:00,Manhattan,West Harlem Piers,125 street and West Harlem Piers Park,Canada Goose,Central,Native,Unhealthy,1.5,Adult,Birds,1-1-1590963990,Rehabilitator,1,false,false,"Wild Bird Fund, Manhattan",,false,false,
2018-07-15T13:15:00,2018-07-15T13:46:00,Queens,Astoria Park,,Red Tailed Hawk,Central,Native,N/A,1,Juvenile,Raptors,1-11-587739991,Unfounded,,false,false,,,false,false,
2018-07-17T18:15:00,2018-07-18T13:00:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring Gull,Employee,Native,Injured,0.25,Adult,Birds,N/A,Monitored Animal,1,true,true,,0.25,false,false,
2018-07-18T11:45:00,2018-07-18T13:00:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Canada Goose,Employee,Native,Injured,1.25,Adult,Birds,1-1-1590963990,ACC,1,true,false,,,false,false,34955
2018-07-18T09:30:00,2018-07-18T10:00:00,Bronx,Haffen Park,,Raccoon,Central,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,1-1-1589094020,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-15T19:00:00,2018-07-15T19:00:00,Bronx,Van Cortlandt Park,,Mallard Ducklings,Public,Native,Healthy,0.5,Juvenile,Birds,,Relocated/Condition Corrected,5,false,false,,,false,false,
2018-07-17T16:00:00,2018-07-17T16:10:00,Manhattan,Central Park,Central Park South and Grand Army Plaza,Raccoon,Employee,Native,DOA,1,Adult,Small Mammals-RVS,1-11-590417923,Submitted for DEC Testing,1,false,false,,,false,false,
2018-07-17T11:00:00,2018-07-17T11:30:00,Brooklyn,Mellet Playground,,Eastern Gray Squirrel,Central,Domestic,DOA,1,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-16T13:00:00,2018-07-16T13:10:00,Manhattan,Central Park,Playground by Dana Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,true,,1,false,false,
2018-07-16T15:00:00,2018-07-16T15:10:00,Manhattan,Central Park,Huddlestone arch,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740052,ACC,1,false,false,,,false,false,34682
2018-07-16T12:00:00,2018-07-16T12:10:00,Manhattan,Central Park,Hecksher Playground,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740051,ACC,1,false,false,,,false,false,34681
2018-07-16T11:00:00,2018-07-16T11:00:00,Manhattan,Central Park,103st and 5th ave,Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-587740050,ACC,1,false,false,,,false,false,34680
2018-07-17T11:40:00,2018-07-17T12:00:00,Manhattan,Central Park,"North Woods along fence west of the Ravine, close to Huddlestone Arch",Raccoon,Public,Native,DOA,1,Juvenile,Small Mammals-RVS,1-1-1588182966,Submitted for DEC Testing,1,false,false,,,false,false,
2018-07-12T11:15:00,2018-07-12T11:30:00,Brooklyn,Prospect Park,,Raccoon,Employee,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-16T14:40:00,2018-07-16T14:50:00,Queens,Alley Pond Park Tennis Courts Near Court 16,,Raccoon,Central,Native,N/A,2,Adult,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
2018-07-15T18:40:00,2018-07-15T18:40:00,Bronx,Van Cortlandt Park,,Mallard,Public,Native,Healthy,0.5,Infant,Birds,,Relocated/Condition Corrected,7,false,false,,,false,false,
2018-07-12T11:00:00,2018-07-12T12:00:00,Brooklyn,Prospect Park,,Raccoon,Employee,Native,Healthy,1.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-14T11:30:00,2018-07-14T12:10:00,Manhattan,Central Park,Children's Playground close to 59th St,Raccoon,Public,Native,N/A,1,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-14T13:00:00,2018-07-14T13:15:00,Brooklyn,Owl's Head Park,,House Sparrow,Central,Native,Injured,3.5,Adult,Birds,1-11-587862230,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
2018-07-14T11:00:00,2018-07-14T11:15:00,Manhattan,Central Park,Conservatory Gardens,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1588847790,ACC,1,false,false,,,false,false,34433
2018-07-12T16:37:00,2018-07-12T17:15:00,Manhattan,Central Park,base of stairs to the Arsenal,pigeon,Employee,Native,Unhealthy,1.5,Adult,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-12T12:30:00,2018-07-12T12:30:00,Manhattan,Morningside Park,Playground 123,raccoon,Employee,Native,Healthy,0.75,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-14T09:15:00,2018-07-14T09:30:00,Manhattan,Central Park,in the bushes just outside of the fence to the 110thst Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-12T10:30:00,2018-07-12T11:30:00,Manhattan,Central Park,North Meadow Ball Fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-588847790,ACC,1,false,false,,,false,false,34207
2018-07-13T14:30:00,2018-07-13T14:30:00,Bronx,Van Cortlandt Park,,Infant Squirrel,Other,Native,N/A,2,Infant,Small Mammals-non RVS,1-11-588704060,Rehabilitator,1,false,false,,,false,false,
2018-07-13T09:00:00,2018-07-13T09:30:00,Manhattan,Central Park,93st & Bridlepath,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-585670172,ACC,1,false,false,,,false,false,34281
2018-07-11T09:30:00,2018-07-11T10:00:00,Manhattan,Central Park,one in lasker rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,5,"Adult;#Juvenile",Small Mammals-RVS,1-11-587408810,ACC,3,false,false,,,false,false,34117
2018-07-13T10:43:00,2018-07-13T10:44:00,Queens,Fort Totten Park,,Red-Eared Slider,Employee,Domestic,DOA,0.5,Juvenile,Domestic,1-11-588703713,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-12T10:30:00,2018-07-12T10:50:00,Manhattan,Central Park,Play ground east 67th St,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-11-585601187,ACC,1,false,false,,,false,false,34206
2018-07-11T15:00:00,2018-07-11T15:10:00,Queens,Rockaway Beach and Boardwalk,,American Oystercatcher,Employee,Native,Injured,3,Adult,Birds,1-11-5842988950,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
2018-07-06T08:45:00,2018-07-06T12:01:00,Manhattan,Central Park,,raccoon,Employee,Native,N/A,0,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,false,false,
2018-07-05T13:00:00,2018-07-05T13:18:00,Manhattan,Central Park,Lasker Rink,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-05T09:08:00,2018-07-05T09:19:00,Manhattan,Sheltering Arms Playground,,opossum,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-08T10:00:00,2018-07-08T10:30:00,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,DOA,2,Adult,Small Mammals-RVS,,ACC,,false,false,,,false,false,
2018-07-10T09:00:00,2018-07-10T09:30:00,Manhattan,Central Park,Lasker pool laying in-between the fence posts in the grass,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-586639352,ACC,1,false,false,,,false,false,
2018-07-08T22:17:00,2018-07-08T12:00:00,Bronx,Van Cortlandt Park,,Skunk,Employee,Native,N/A,0.25,Adult,Small Mammals-RVS,1-11-586588522,Unfounded,1,false,false,,,false,false,
2018-07-08T09:40:00,2018-07-08T11:00:00,Bronx,Space Time Playground,,Kittens,Central,Domestic,Healthy,1,Juvenile,Domestic,1-11-584669690,ACC,3,false,false,,,false,false,40827
2018-07-07T09:15:00,2018-07-07T09:36:00,Manhattan,Central Park,Strawberry Fields by the Drive,,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-11-584114940,ACC,1,false,false,,,false,false,40666
2018-07-07T11:20:00,2018-07-07T12:25:00,Brooklyn,Prospect Park,,Mallard Duck,"Conservancies/""Friends of"" Groups",Native,Injured,3.5,Adult,Birds,,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
2018-07-06T11:00:00,2018-07-06T12:00:00,Manhattan,Central Park,alleyway of the Lasker Rink and Pool,Raccoon,Central,Native,DOA,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-05T13:58:00,2018-07-05T13:58:00,Staten Island,Ocean Breeze Park,,Cormorant,Employee,Native,Unhealthy,1.5,Juvenile,Birds,1-11-584298431,ACC,1,false,false,,,false,false,40434
2018-07-05T11:30:00,2018-07-05T12:16:00,Queens,Forest Park,,Raccoon,Employee,Native,DOA,2,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,3,false,false,,,false,false,
2018-07-05T14:05:00,2018-07-05T14:49:00,Queens,Rockaway Beach and Boardwalk,,Peregrine Falcon,Employee,Native,Injured,3,Adult,Raptors,1-11-582650930,Rehabilitator,1,false,false,Bobby Horvath,,false,false,
2018-07-04T10:30:00,2018-07-04T10:35:00,Queens,Flushing Meadows Corona Park,,Rock Dove,Employee,Native,Injured,1,Adult,Birds,,Relocated/Condition Corrected,,false,false,,,false,false,
2018-06-28T15:50:00,2018-06-28T16:00:00,Manhattan,Central Park,,Raccoon,Other,Native,Injured,1.5,Adult,Small Mammals-RVS,1-11-578998211,ACC,1,false,true,,,false,false,39582
2018-06-12T08:30:00,2018-06-14T14:00:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,2,Juvenile,Raptors,,Monitored Animal,1,false,true,,2,false,false,
2018-06-27T10:43:00,2018-06-27T10:44:00,Manhattan,John V. Lindsay East River Park,,dutch blue love bird,Central,Exotic,Unhealthy,0,Infant,Birds,,Advised/Educated others,1,false,false,,,false,false,
2018-06-22T14:45:00,2018-06-22T15:00:00,Manhattan,Central Park,,,Employee,Native,Healthy,1.25,Infant,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-06-24T10:00:00,2018-06-24T11:00:00,Manhattan,Central Park,,Raccoon,Central,Native,Injured,2,Infant,Small Mammals-RVS,1-11-580068259,ACC,1,false,false,,,false,false,32202
2018-06-15T00:00:00,2018-06-15T00:00:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,4,Juvenile,Raptors,,Monitored Animal,1,false,true,,4,false,false,
2018-06-14T00:00:00,2018-06-14T00:00:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,3.5,Juvenile,Raptors,,Monitored Animal,1,false,true,,4,false,false,
2018-06-12T08:30:00,2018-06-12T10:00:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,4.5,Juvenile,Raptors,,Monitored Animal,2,false,true,,4,false,false,
2018-06-16T14:00:00,2018-06-16T02:30:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,2.5,Juvenile,Raptors,1-11-572509140,Rehabilitator,1,false,true,Bobby Horvath,1,false,false,
2018-06-15T14:00:00,2018-06-15T14:52:00,Manhattan,Central Park,,double crested cormorant,Public,Native,N/A,1.75,Adult,Birds,,Unfounded,1,false,false,,,false,false,
2018-06-15T14:00:00,2018-06-15T16:30:00,Manhattan,Central Park,,raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-06-17T14:30:00,2018-06-17T15:40:00,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-11-576043760,ACC,1,false,false,,,false,false,31565
2018-06-12T17:10:00,2018-06-12T17:15:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Healthy,3.05,Juvenile,Raptors,1-11-575043572,Rehabilitator,1,false,true,Bobby Horvath,0.5,false,false,
2018-06-12T14:00:00,2018-06-12T02:35:00,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Injured,2,Juvenile,Small Mammals-RVS,1-11-579641512,ACC,1,false,false,,,false,false,37529
2018-06-11T10:15:00,2018-06-11T10:30:00,Manhattan,Riverside Park,,Red-tailed Hawk,Public,Native,Injured,2,Juvenile,Raptors,1-11-5729099901,Rehabilitator,1,false,true,Bobby Horvath,2,false,false,
2018-06-05T00:00:00,2018-06-05T00:01:00,Manhattan,Abingdon Square,,raccoon,Central,Native,Healthy,0.75,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,1,false,false,
2018-06-01T12:00:00,2018-06-01T12:30:00,Manhattan,Central Park,,RACCOON,Employee,Native,Injured,1.25,Juvenile,Small Mammals-RVS,,ACC,1,false,false,,,false,false,36061
2018-05-16T09:00:00,2018-05-17T10:10:00,Manhattan,Morningside Park,,Raccoon,Employee,Native,DOA,1.5,Juvenile,Small Mammals-RVS,,ACC,2,false,true,,0.5,false,false,28316
2018-05-02T09:30:00,2018-05-02T12:00:00,Manhattan,Central Park,,raccoon,Public,Native,Healthy,0.75,Adult,Small Mammals-RVS,,Unfounded,1,,,,,,false,
2018-05-07T13:30:00,2018-05-07T13:40:00,Manhattan,Central Park,,Red Tailed Hawk,Employee,Native,DOA,1,Adult,Raptors,,Submitted for DEC Testing,1,,,,,,false,
